NAME,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_media_price,total_population
ZCTA5 11559,,,,1450.0,1421.0,,
ZCTA5 11560,,,,930.0,1615.0,,
ZCTA5 11561,,,,5394.0,7516.0,,
ZCTA5 11563,,,,3847.0,3999.0,,
ZCTA5 11565,,,,1080.0,1922.0,,
ZCTA5 11566,,,,3819.0,6892.0,,
ZCTA5 11568,,,,1150.0,819.0,,
ZCTA5 11569,,,,46.0,181.0,,
ZCTA5 11570,,,,3384.0,5896.0,,
ZCTA5 11572,,,,4048.0,5137.0,,
ZCTA5 11575,,,,5906.0,1405.0,,
ZCTA5 11576,,,,3050.0,2907.0,,
ZCTA5 11577,,,,3014.0,3033.0,,
ZCTA5 11579,,,,708.0,1088.0,,
ZCTA5 11580,,,,16926.0,7071.0,,
ZCTA5 11581,,,,7316.0,4033.0,,
ZCTA5 11590,,,,18202.0,7057.0,,
ZCTA5 11596,,,,2012.0,2012.0,,
ZCTA5 11598,,,,1593.0,2153.0,,
ZCTA5 11691,,,,23031.0,6425.0,,
ZCTA5 11692,,,,8100.0,2290.0,,
ZCTA5 11693,,,,3848.0,1464.0,,
ZCTA5 11694,,,,3656.0,3797.0,,
ZCTA5 11697,,,,139.0,745.0,,
ZCTA5 11701,,,,7059.0,2956.0,,
ZCTA5 11702,,,,1158.0,3232.0,,
ZCTA5 11703,,,,2598.0,2130.0,,
ZCTA5 11704,,,,6995.0,4635.0,,
ZCTA5 11705,,,,386.0,1244.0,,
ZCTA5 11706,,,,20610.0,6243.0,,
ZCTA5 11709,,,,794.0,1145.0,,
ZCTA5 11710,,,,4181.0,6894.0,,
ZCTA5 11713,,,,1965.0,834.0,,
ZCTA5 11714,,,,3847.0,4321.0,,
ZCTA5 11715,,,,199.0,904.0,,
ZCTA5 11716,,,,729.0,1264.0,,
ZCTA5 11717,,,,30494.0,3894.0,,
ZCTA5 11718,,,,224.0,742.0,,
ZCTA5 11719,,,,267.0,397.0,,
ZCTA5 11720,,,,3731.0,3496.0,,
ZCTA5 11721,,,,519.0,1438.0,,
ZCTA5 11722,,,,12309.0,2381.0,,
ZCTA5 11724,,,,486.0,784.0,,
ZCTA5 11725,,,,2909.0,5692.0,,
ZCTA5 11726,,,,6789.0,1748.0,,
ZCTA5 11727,,,,5891.0,3573.0,,
ZCTA5 11729,,,,6298.0,3842.0,,
ZCTA5 11730,,,,804.0,1975.0,,
ZCTA5 11731,,,,3386.0,5388.0,,
ZCTA5 11732,,,,398.0,615.0,,
ZCTA5 11733,,,,2457.0,2917.0,,
ZCTA5 11735,,,,4845.0,5507.0,,
ZCTA5 11738,,,,2649.0,2342.0,,
ZCTA5 11739,,,,38.0,182.0,,
ZCTA5 11740,,,,1076.0,1957.0,,
ZCTA5 11741,,,,2287.0,3629.0,,
ZCTA5 11742,,,,1563.0,1568.0,,
ZCTA5 11743,,,,5254.0,9095.0,,
ZCTA5 11746,,,,15947.0,11632.0,,
ZCTA5 11747,,,,1972.0,3793.0,,
ZCTA5 11749,,,,916.0,366.0,,
ZCTA5 11751,,,,1443.0,2325.0,,
ZCTA5 11752,,,,1154.0,1213.0,,
ZCTA5 11753,,,,3330.0,3428.0,,
ZCTA5 11754,,,,1634.0,3140.0,,
ZCTA5 11755,,,,1341.0,2027.0,,
ZCTA5 11756,,,,7054.0,5941.0,,
ZCTA5 11757,,,,8288.0,4768.0,,
ZCTA5 11758,,,,4227.0,9759.0,,
ZCTA5 11762,,,,1471.0,4156.0,,
ZCTA5 11763,,,,3794.0,3515.0,,
ZCTA5 11764,,,,856.0,1974.0,,
ZCTA5 11765,,,,116.0,180.0,,
ZCTA5 11766,,,,1063.0,1769.0,,
ZCTA5 11767,,,,1823.0,2746.0,,
ZCTA5 11768,,,,1654.0,4769.0,,
ZCTA5 11769,,,,409.0,1343.0,,
ZCTA5 11770,,,,2.0,9.0,,
ZCTA5 11771,,,,1309.0,2093.0,,
ZCTA5 11772,,,,7068.0,4742.0,,
ZCTA5 11776,,,,3996.0,3465.0,,
ZCTA5 11777,,,,1518.0,1174.0,,
ZCTA5 11778,,,,907.0,1608.0,,
ZCTA5 11779,,,,5161.0,4475.0,,
ZCTA5 11780,,,,1366.0,2865.0,,
ZCTA5 11782,,,,835.0,2467.0,,
ZCTA5 11783,,,,1912.0,3734.0,,
ZCTA5 11784,,,,3642.0,2869.0,,
ZCTA5 11786,,,,538.0,948.0,,
ZCTA5 11787,,,,2533.0,5937.0,,
ZCTA5 11788,,,,2248.0,3137.0,,
ZCTA5 11789,,,,572.0,1569.0,,
ZCTA5 11790,,,,3583.0,2800.0,,
ZCTA5 11791,,,,6746.0,5918.0,,
ZCTA5 11792,,,,500.0,1321.0,,
ZCTA5 11793,,,,2369.0,5844.0,,
ZCTA5 11794,,,,1036.0,26.0,,
ZCTA5 11795,,,,1761.0,3504.0,,
ZCTA5 11796,,,,206.0,542.0,,
ZCTA5 11797,,,,1796.0,2268.0,,
ZCTA5 11798,,,,3451.0,1119.0,,
ZCTA5 11801,,,,13677.0,7101.0,,
ZCTA5 11803,,,,5195.0,6643.0,,
ZCTA5 11804,,,,492.0,1067.0,,
ZCTA5 11901,,,,7070.0,2404.0,,
ZCTA5 11930,,,,182.0,181.0,,
ZCTA5 11931,,,,0.0,10.0,,
ZCTA5 11932,,,,258.0,255.0,,
ZCTA5 11933,,,,815.0,589.0,,
ZCTA5 11934,,,,352.0,683.0,,
ZCTA5 11935,,,,262.0,592.0,,
ZCTA5 11937,,,,4220.0,3429.0,,
ZCTA5 11939,,,,173.0,167.0,,
ZCTA5 11940,,,,229.0,510.0,,
ZCTA5 11941,,,,104.0,264.0,,
ZCTA5 11942,,,,273.0,625.0,,
ZCTA5 11944,,,,785.0,646.0,,
ZCTA5 11946,,,,4423.0,2225.0,,
ZCTA5 11947,,,,0.0,139.0,,
ZCTA5 11948,,,,56.0,58.0,,
ZCTA5 11949,,,,1061.0,1568.0,,
ZCTA5 11950,,,,2398.0,996.0,,
ZCTA5 11951,,,,1374.0,777.0,,
ZCTA5 11952,,,,572.0,945.0,,
ZCTA5 11953,,,,1698.0,1419.0,,
ZCTA5 11954,,,,441.0,916.0,,
ZCTA5 11955,,,,553.0,504.0,,
ZCTA5 11956,,,,20.0,72.0,,
ZCTA5 11957,,,,78.0,181.0,,
ZCTA5 11958,,,,163.0,190.0,,
ZCTA5 11959,,,,21.0,134.0,,
ZCTA5 11960,,,,15.0,141.0,,
ZCTA5 11961,,,,1453.0,1259.0,,
ZCTA5 11962,,,,68.0,170.0,,
ZCTA5 11963,,,,1465.0,1608.0,,
ZCTA5 11964,,,,255.0,272.0,,
ZCTA5 11965,,,,32.0,94.0,,
ZCTA5 11967,,,,4015.0,2034.0,,
ZCTA5 11968,,,,1987.0,2528.0,,
ZCTA5 11970,,,,95.0,83.0,,
ZCTA5 11971,,,,1094.0,1149.0,,
ZCTA5 11972,,,,150.0,238.0,,
ZCTA5 11973,,,,4.0,2.0,,
ZCTA5 11975,,,,32.0,71.0,,
ZCTA5 11976,,,,400.0,365.0,,
ZCTA5 11977,,,,171.0,444.0,,
ZCTA5 11978,,,,517.0,572.0,,
ZCTA5 11980,,,,650.0,797.0,,
ZCTA5 12007,,,,0.0,0.0,,
ZCTA5 12008,,,,62.0,126.0,,
ZCTA5 12009,,,,541.0,1129.0,,
ZCTA5 12010,,,,3160.0,2233.0,,
ZCTA5 12015,,,,349.0,257.0,,
ZCTA5 12017,,,,11.0,76.0,,
ZCTA5 12018,,,,436.0,941.0,,
ZCTA5 12019,,,,1128.0,3047.0,,
ZCTA5 12020,,,,1861.0,5433.0,,
ZCTA5 12022,,,,0.0,66.0,,
ZCTA5 12023,,,,65.0,257.0,,
ZCTA5 12024,,,,0.0,0.0,,
ZCTA5 12025,,,,133.0,574.0,,
ZCTA5 12027,,,,144.0,792.0,,
ZCTA5 12028,,,,52.0,98.0,,
ZCTA5 12029,,,,41.0,173.0,,
ZCTA5 12031,,,,4.0,23.0,,
ZCTA5 12032,,,,92.0,67.0,,
ZCTA5 12033,,,,231.0,1055.0,,
ZCTA5 12035,,,,13.0,17.0,,
ZCTA5 12036,,,,16.0,35.0,,
ZCTA5 12037,,,,215.0,473.0,,
ZCTA5 12040,,,,0.0,7.0,,
ZCTA5 12041,,,,8.0,25.0,,
ZCTA5 12042,,,,9.0,24.0,,
ZCTA5 12043,,,,238.0,805.0,,
ZCTA5 12045,,,,24.0,15.0,,
ZCTA5 12046,,,,10.0,149.0,,
ZCTA5 12047,,,,1816.0,2694.0,,
ZCTA5 12051,,,,679.0,355.0,,
ZCTA5 12052,,,,6.0,139.0,,
ZCTA5 12053,,,,106.0,542.0,,
ZCTA5 12054,,,,1066.0,3256.0,,
ZCTA5 12056,,,,4.0,346.0,,
ZCTA5 12057,,,,36.0,113.0,,
ZCTA5 12058,,,,23.0,96.0,,
ZCTA5 12059,,,,45.0,253.0,,
ZCTA5 12060,,,,47.0,164.0,,
ZCTA5 12061,,,,879.0,1796.0,,
