NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_median_price
13669,16103,42.6,14205,42341.0,342,1158,607.0
13670,410,56.3,396,35417.0,0,8,647.0
13672,900,34.1,886,53125.0,0,72,815.0
13673,2168,34.7,1979,48073.0,18,146,669.0
13674,141,5.6,141,,0,0,
13675,92,50.3,92,85476.0,0,0,
13676,17060,24.8,15032,50777.0,724,1545,760.0
13677,85,56.4,85,,0,0,
13678,263,49.1,263,,0,0,626.0
13679,1969,40.1,1916,41875.0,0,97,1107.0
13680,1470,33.2,1340,35781.0,14,77,819.0
13681,735,33.6,700,45625.0,1,36,664.0
13682,978,44.8,937,74167.0,5,42,1632.0
13684,1188,36.7,1152,45926.0,0,95,608.0
13685,2299,33.8,2089,56771.0,43,392,1047.0
13687,481,54.4,467,48750.0,25,36,
13690,741,50.4,700,40556.0,3,11,509.0
13691,2953,40.3,2695,60769.0,41,189,928.0
13692,43,73.3,43,,0,16,
13693,511,43.4,457,46250.0,0,31,
13694,1437,48.3,1289,68958.0,9,193,777.0
13695,141,52.3,123,98594.0,0,26,
13696,30,,30,,0,0,
13697,2068,42.5,2045,47083.0,8,108,587.0
13730,2799,49.0,2706,50517.0,9,160,551.0
13731,1024,52.0,997,47188.0,22,150,931.0
13732,7862,46.2,7686,79303.0,21,1254,636.0
13733,4939,43.5,4761,48964.0,97,354,729.0
13734,2140,43.7,2093,46797.0,1,104,594.0
13736,2062,41.7,2004,53864.0,4,141,905.0
13739,826,48.9,784,52216.0,7,121,675.0
13740,499,49.5,482,63438.0,15,86,935.0
13743,3746,43.1,3629,59595.0,1,358,543.0
13744,1175,49.6,1158,50000.0,1,138,770.0
13746,1987,46.7,1861,51700.0,9,169,819.0
13748,3795,41.6,3653,51627.0,0,302,711.0
13750,840,53.3,766,34792.0,27,46,
13751,167,31.9,167,,0,11,
13752,809,53.5,733,49659.0,3,88,871.0
13753,5597,27.6,4508,50434.0,74,484,762.0
13754,3337,48.5,3102,42888.0,49,230,668.0
13755,1212,52.2,1182,36806.0,12,96,604.0
