NAME,median_age,white_non-hispanic,household_income,family_income,nonfamily_households_income,married-couple_families_income,foreign_born_not_a_us_citizen,bachelors,graduate,gross_rent_media_price
ZCTA5 11554,,,,,,,2637.0,4831.0,4008.0,
ZCTA5 11556,,,,,,,0.0,0.0,0.0,
ZCTA5 11557,,,,,,,380.0,1580.0,1683.0,
ZCTA5 11558,,,,,,,468.0,981.0,823.0,
ZCTA5 11559,,,,,,,356.0,1292.0,1554.0,
ZCTA5 11560,,,,,,,484.0,1580.0,965.0,
ZCTA5 11561,,,,,,,1951.0,7480.0,6034.0,
ZCTA5 11563,,,,,,,910.0,3846.0,2261.0,
ZCTA5 11565,,,,,,,250.0,1649.0,1271.0,
ZCTA5 11566,,,,,,,570.0,5765.0,5899.0,
ZCTA5 11568,,,,,,,279.0,635.0,833.0,
ZCTA5 11569,,,,,,,0.0,283.0,329.0,
ZCTA5 11570,,,,,,,941.0,5425.0,4740.0,
ZCTA5 11572,,,,,,,755.0,4406.0,3907.0,
ZCTA5 11575,,,,,,,2638.0,1307.0,455.0,
ZCTA5 11576,,,,,,,292.0,3009.0,3228.0,
ZCTA5 11577,,,,,,,988.0,2710.0,2549.0,
ZCTA5 11579,,,,,,,78.0,1126.0,871.0,
ZCTA5 11580,,,,,,,4695.0,5924.0,3350.0,
ZCTA5 11581,,,,,,,1724.0,3323.0,2368.0,
ZCTA5 11590,,,,,,,7396.0,5523.0,4261.0,
ZCTA5 11596,,,,,,,433.0,1724.0,1811.0,
ZCTA5 11598,,,,,,,874.0,2543.0,2834.0,
ZCTA5 11691,,,,,,,10259.0,4767.0,2915.0,
ZCTA5 11692,,,,,,,1685.0,1338.0,528.0,
ZCTA5 11693,,,,,,,652.0,1199.0,528.0,
ZCTA5 11694,,,,,,,1217.0,3162.0,2756.0,
ZCTA5 11697,,,,,,,0.0,885.0,579.0,
ZCTA5 11701,,,,,,,2979.0,2720.0,1762.0,
ZCTA5 11702,,,,,,,716.0,2008.0,2060.0,
ZCTA5 11703,,,,,,,451.0,1669.0,1088.0,
ZCTA5 11704,,,,,,,2354.0,3786.0,2216.0,
ZCTA5 11705,,,,,,,63.0,964.0,1085.0,
ZCTA5 11706,,,,,,,9739.0,5982.0,3412.0,
ZCTA5 11709,,,,,,,189.0,999.0,1032.0,
ZCTA5 11710,,,,,,,564.0,5046.0,4205.0,
ZCTA5 11713,,,,,,,579.0,879.0,1074.0,
ZCTA5 11714,,,,,,,989.0,3359.0,1421.0,
ZCTA5 11715,,,,,,,45.0,620.0,593.0,
ZCTA5 11716,,,,,,,202.0,986.0,959.0,
ZCTA5 11717,,,,,,,15745.0,3312.0,1548.0,
ZCTA5 11718,,,,,,,21.0,567.0,542.0,
ZCTA5 11719,,,,,,,72.0,381.0,287.0,
ZCTA5 11720,,,,,,,1807.0,3141.0,2240.0,
ZCTA5 11721,,,,,,,91.0,1237.0,1320.0,
ZCTA5 11722,,,,,,,8233.0,2505.0,1551.0,
ZCTA5 11724,,,,,,,53.0,665.0,637.0,
ZCTA5 11725,,,,,,,571.0,4619.0,3897.0,
ZCTA5 11726,,,,,,,4281.0,1553.0,608.0,
ZCTA5 11727,,,,,,,2140.0,3453.0,3039.0,
ZCTA5 11729,,,,,,,1963.0,3101.0,1557.0,
ZCTA5 11730,,,,,,,314.0,1568.0,1302.0,
ZCTA5 11731,,,,,,,751.0,5175.0,3881.0,
ZCTA5 11732,,,,,,,41.0,599.0,460.0,
ZCTA5 11733,,,,,,,1033.0,2616.0,4284.0,
ZCTA5 11735,,,,,,,2030.0,4593.0,2693.0,
ZCTA5 11738,,,,,,,854.0,1691.0,921.0,
ZCTA5 11739,,,,,,,5.0,335.0,269.0,
ZCTA5 11740,,,,,,,377.0,1585.0,1170.0,
ZCTA5 11741,,,,,,,792.0,3376.0,1874.0,
ZCTA5 11742,,,,,,,513.0,1375.0,1047.0,
ZCTA5 11743,,,,,,,2059.0,8650.0,7679.0,
ZCTA5 11746,,,,,,,7100.0,10012.0,8662.0,
ZCTA5 11747,,,,,,,491.0,3656.0,3380.0,
ZCTA5 11749,,,,,,,391.0,451.0,294.0,
ZCTA5 11751,,,,,,,296.0,1865.0,1162.0,
ZCTA5 11752,,,,,,,280.0,913.0,404.0,
