NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_media_price
14623,26003,26.8,18507,47298.0,2742,2920,918.0
14624,35918,40.8,29450,60923.0,1175,5710,886.0
14625,9990,46.9,9200,71861.0,79,1980,1041.0
14626,29735,45.6,26575,54636.0,873,3657,875.0
14627,2703,19.6,1875,,354,5,
14701,40232,39.6,34509,36414.0,274,2991,603.0
14706,6294,45.4,6057,48953.0,27,541,701.0
14707,261,36.0,247,50313.0,2,6,
14708,264,31.5,264,62500.0,0,10,
14709,1617,42.0,1604,45250.0,0,98,568.0
14710,3359,45.5,3278,51354.0,24,187,770.0
14711,1976,37.1,1916,42679.0,14,96,507.0
14712,3483,49.0,3454,48446.0,32,411,655.0
14714,464,35.6,446,40000.0,0,29,817.0
14715,2816,39.8,2774,41486.0,11,146,569.0
14716,3100,35.7,2397,34557.0,180,120,559.0
14717,602,47.7,581,36364.0,0,36,631.0
14718,2195,41.1,1849,56038.0,11,167,752.0
14719,3501,45.4,3281,44485.0,24,171,605.0
14720,603,36.6,541,39097.0,2,15,660.0
14721,78,37.7,72,21417.0,0,3,
14722,430,65.1,406,89279.0,4,38,
14723,1149,45.6,1136,49375.0,1,78,644.0
14724,2486,42.0,2451,46555.0,5,130,725.0
14726,2193,26.1,2131,42098.0,5,79,583.0
14727,5161,45.7,4968,47453.0,19,385,643.0
14728,801,49.3,706,55000.0,8,118,
14729,853,46.4,837,52411.0,4,47,488.0
14731,1374,51.4,1338,54926.0,13,210,637.0
14732,135,51.3,133,53958.0,4,0,
14733,4352,37.2,4064,44662.0,44,270,549.0
14735,2627,39.1,2598,38085.0,5,130,563.0
14736,240,54.2,240,43194.0,0,21,
14737,3997,42.5,3788,43615.0,41,254,613.0
14738,3641,47.8,3564,49060.0,71,350,519.0
14739,2699,41.0,2643,37679.0,45,118,597.0
14740,1496,47.5,1458,47500.0,4,134,752.0
14741,2218,39.7,2148,55042.0,15,213,838.0
14742,215,79.8,210,67031.0,0,9,
14743,1890,38.2,1838,43026.0,8,121,613.0
14744,2265,20.9,2026,51172.0,95,158,754.0
14747,2261,45.2,2131,44620.0,9,96,491.0
14748,793,31.9,535,38438.0,0,33,555.0
14750,4309,46.1,4056,51912.0,62,604,688.0
14752,185,55.8,185,16917.0,7,19,
14753,1065,42.2,1029,34792.0,0,53,613.0
14754,565,42.8,560,49107.0,0,30,583.0
14755,3120,39.3,2888,44911.0,40,199,566.0
14756,164,45.9,164,35040.0,0,103,
14757,3520,40.9,3274,46319.0,66,393,622.0
14760,18208,43.2,16783,42785.0,178,1796,628.0
14767,2021,35.4,1958,36250.0,0,127,543.0
14769,964,54.7,948,34412.0,0,61,596.0
14770,2836,43.9,2735,55735.0,6,207,670.0
14772,4087,36.5,3878,42962.0,0,189,564.0
14774,200,27.4,200,35625.0,0,1,608.0
14775,2284,39.4,2191,41815.0,33,118,619.0
14777,656,53.2,644,43583.0,0,52,506.0
14778,1388,20.1,1103,,30,0,
14779,6629,39.0,4723,31467.0,25,370,601.0
14781,2181,37.7,2143,45750.0,8,129,545.0
14782,2680,35.7,2629,45214.0,0,154,645.0
14783,350,39.8,170,33750.0,0,4,431.0
14784,766,40.1,752,27105.0,4,48,740.0
14787,5030,48.0,4853,42762.0,15,433,601.0
14788,245,27.9,234,76786.0,0,7,423.0
14801,5638,38.5,5490,45565.0,35,201,641.0
14802,4260,20.0,3286,20341.0,288,124,762.0
14803,956,43.8,946,46250.0,3,118,608.0
14804,1662,41.3,1543,63068.0,21,156,573.0
14805,944,44.2,905,52240.0,6,71,639.0
14806,2149,42.9,2055,50982.0,0,144,647.0
14807,2764,48.4,2705,47188.0,8,146,671.0
14808,475,51.1,475,40114.0,0,7,725.0
14809,2413,42.4,2315,44167.0,4,149,738.0
